,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
0,A.N. Pritzker School,"2009 W Schiller St, Chicago, IL 60622",63.0,46.0,42.0,70.0,45.0,0.5387429382186887,54344.0
1,ACE Technical Charter School,"5410 S State St, Chicago, IL 60609",79.0,71.0,65.0,70.0,46.0,-0.41070628788018915,31357.0
2,ASPIRA Business and Finance,"2989 N Milwaukee Ave, Chicago, IL 60618",55.0,32.0,16.0,25.0,49.0,0.6594431566009662,55303.0
3,ASPIRA Charter School - Early College High School,"3986 W Barry Ave, Chicago, IL 60618",72.0,64.0,52.0,75.0,64.0,-0.3895073614329725,55303.0
4,ASPIRA Charter School - Haugan Middle School,"3729 W Leland Ave, Chicago, IL 60625",99.0,87.0,80.0,80.0,60.0,-0.717649962532042,53288.0
5,Abraham Lincoln Elementary School,"615 W Kemper Pl, Chicago, IL 60614",68.0,77.0,74.0,92.0,66.0,-0.44736656007640413,93702.0
6,Academy for Global Citizenship Charter School,"4647 W 47th St, Chicago, IL 60632",80.0,83.0,69.0,96.0,59.0,-0.7031787817319493,46811.0
7,Acero Charter Schools - Bartolome de las Casas,"1641 W 16th St, Chicago, IL 60608",70.0,62.0,49.0,68.0,41.0,0.2727083702134316,33821.0
8,Acero Charter Schools - Brighton Park,"4420 S Fairfield Ave, Chicago, IL 60632",58.0,44.0,53.0,69.0,46.0,0.5142230494233737,46811.0
9,Acero Charter Schools - Carlos Fuentes,"2845 W Barry Ave, Chicago, IL 60618",60.0,37.0,30.0,69.0,51.0,0.5906385790852411,55303.0
10,Acero Charter Schools - Esmeralda Santiago,"2510 W Cortez St, Chicago, IL 60622",99.0,81.0,64.0,82.0,82.0,-0.7149205790678157,54344.0
11,Acero Charter Schools - Jovita Idar,"5050 S Homan Ave, Chicago, IL 60632",43.0,28.0,25.0,51.0,22.0,0.6836237118069163,46811.0
12,Acero Charter Schools - Major Hector P. Garcia MD,"4248 W 47th St, Chicago, IL 60632",53.0,50.0,32.0,58.0,56.0,0.6282910249858151,46811.0
13,Acero Charter Schools - Octavio Paz Campus,"2651 W 23rd St, Chicago, IL 60608",55.0,47.0,56.0,36.0,37.0,0.6603703313415823,33821.0
14,Acero Charter Schools - Officer Donald J. Marquez,"2916 W 47th St, Chicago, IL 60632",65.0,63.0,55.0,71.0,38.0,0.20111443209835553,46811.0
15,Acero Charter Schools - PFC Omar E. Torres,"4248 W 47th St, Chicago, IL 60632",56.0,16.0,22.0,43.0,40.0,0.6851043802145786,46811.0
16,Acero Charter Schools - Roberto Clemente,"2050 N Natchez Ave, Chicago, IL 60707",59.0,23.0,15.0,47.0,34.0,0.6617233637077871,60345.0
17,Acero Charter Schools - Rufino Tamayo,"5135 S California Ave, Chicago, IL 60632",76.0,73.0,61.0,80.0,60.0,-0.6441572789516676,46811.0
18,Acero Charter Schools - SPC Daniel Zizumbo,"4248 W 47th St, Chicago, IL 60632",62.0,16.0,30.0,51.0,46.0,0.675241239101667,46811.0
19,Acero Charter Schools - Sandra Cisneros,"2744 W Pershing Rd, Chicago, IL 60632",49.0,49.0,49.0,62.0,33.0,0.6338828819580435,46811.0
20,Acero Charter Schools - Sor Juana Ines de la Cruz,"7416 N Ridge Ave, Chicago, IL 60645",53.0,25.0,23.0,35.0,43.0,0.699513325155031,52022.0
21,Acero Charter Schools - Victoria Soto,"5025 S St. Louis Ave, Chicago, IL 60632",67.0,48.0,34.0,50.0,60.0,0.6144188660528028,46811.0
22,Adam Clayton Powell Paideia Community Academy ES,"7511 S South Shore Dr, Chicago, IL 60649",87.0,42.0,37.0,47.0,57.0,0.4994490059142657,35616.0
23,Adlai E Stevenson Elementary School,"8010 S Kostner Ave, Chicago, IL 60652",98.0,90.0,79.0,96.0,79.0,-0.6875338473735215,64997.0
24,Agustin Lara Elementary Academy,"4619 S Wolcott Ave, Chicago, IL 60609",86.0,70.0,70.0,74.0,62.0,-0.6486614429493391,31357.0
25,Air Force Academy High School,"3630 S Wells St, Chicago, IL 60609",62.0,65.0,47.0,55.0,43.0,0.4764547046294657,31357.0
26,Al Raby High School,"3545 W Fulton Blvd, Chicago, IL 60624",73.0,63.0,62.0,52.0,55.0,0.05386109479527123,28695.0
27,Albany Park Multicultural Academy,"4929 N Sawyer Ave, Chicago, IL 60625",83.0,65.0,52.0,44.0,55.0,0.16113058586053838,53288.0
28,Albert G Lane Technical High School,"2501 W Addison St, Chicago, IL 60618",85.0,58.0,48.0,80.0,76.0,-0.4793009413820433,55303.0
29,Albert R Sabin Elementary Magnet School,"2216 W Hirsch St, Chicago, IL 60622",68.0,46.0,40.0,58.0,40.0,0.6607802120064896,54344.0
30,Alessandro Volta Elementary School,"4950 N Avers Ave, Chicago, IL 60625",73.0,58.0,51.0,71.0,48.0,0.09029562783870945,53288.0
31,Alex Haley Elementary Academy,"11411 S Eggleston Ave, Chicago, IL 60628",97.0,73.0,63.0,73.0,63.0,-0.6899450361126012,47232.0
32,Alexander Graham Bell Elementary School,"3730 N Oakley Ave, Chicago, IL 60618",65.0,62.0,58.0,81.0,56.0,-0.32184864524494294,55303.0
33,Alexander Graham Elementary School,"4436 S Union Ave, Chicago, IL 60609",73.0,55.0,39.0,56.0,41.0,0.5726005902997328,31357.0
34,Alexander Hamilton Elementary School,"1650 W Cornelia Ave, Chicago, IL 60657",70.0,49.0,57.0,79.0,70.0,-0.2199779121019663,74895.0
35,Alfred Nobel Elementary School,"4127 W Hirsch St, Chicago, IL 60651",75.0,80.0,75.0,71.0,37.0,-0.44704945786186273,41711.0
36,Alice L Barnard Computer Math & Science Ctr ES,"10354 S Charles St, Chicago, IL 60643",48.0,49.0,56.0,51.0,18.0,0.5764623368566827,62868.0
37,Ambrose Plamondon Elementary School,"2642 W 15th Pl, Chicago, IL 60608",85.0,59.0,44.0,60.0,70.0,-0.12806078667503437,33821.0
38,Amelia Earhart Options for Knowledge ES,"1710 E 93rd St, Chicago, IL 60617",95.0,70.0,43.0,,60.0,-0.3754801879233194,43572.0
39,Amos Alonzo Stagg Elementary School,"7424 S Morgan St, Chicago, IL 60621",89.0,70.0,69.0,68.0,69.0,-0.5889424581436318,23875.0
40,Andrew Carnegie Elementary School,"1414 E 61st Pl, Chicago, IL 60637",78.0,50.0,54.0,62.0,48.0,0.307277250557615,30244.0
41,Andrew Jackson Elementary Language Academy,"1340 W Harrison St, Chicago, IL 60607",52.0,32.0,36.0,59.0,33.0,0.6795626166106217,59427.0
42,Anna R. Langford Community Academy,"6010 S Throop St, Chicago, IL 60636",50.0,40.0,39.0,36.0,18.0,0.6875409283070086,33080.0
43,Annie Keller Elementary Gifted Magnet School,"3020 W 108th St, Chicago, IL 60655",99.0,97.0,86.0,99.0,84.0,-0.637032910222643,73296.0
44,Ariel Elementary Community Academy,"1119 E 46th St, Chicago, IL 60653",68.0,63.0,61.0,79.0,38.0,-0.06492552852955612,18464.0
45,Arnold Mireles Elementary Academy,"9000 S Exchange Ave, Chicago, IL 60617",64.0,50.0,46.0,47.0,34.0,0.7082793702658349,43572.0
46,Arthur A Libby Elementary School,"5300 S Loomis Blvd, Chicago, IL 60609",69.0,32.0,35.0,45.0,48.0,0.6884890447016668,31357.0
47,Arthur Dixon Elementary School,"8306 S Saint Lawrence Ave, Chicago, IL 60619",99.0,78.0,69.0,78.0,64.0,-0.7305979249404048,42754.0
48,Arthur E Canty Elementary School,"3740 N Panama Ave, Chicago, IL 60634",71.0,60.0,52.0,68.0,44.0,0.16429448510329162,62214.0
49,Arthur R Ashe Elementary School,"8505 S Ingleside Ave, Chicago, IL 60619",80.0,80.0,67.0,68.0,35.0,-0.3827722505488432,42754.0
50,Asa Philip Randolph Elementary School,"7316 S Hoyne Ave, Chicago, IL 60636",64.0,34.0,35.0,27.0,40.0,0.6995751253529696,33080.0
51,Ashburn Community Elementary School,"8300 S St Louis Ave, Chicago, IL 60652",83.0,66.0,64.0,76.0,53.0,-0.5062526530229414,64997.0
52,Asian Human Services - Passages Charter School,"1643 W Bryn Mawr Ave, Chicago, IL 60660",57.0,65.0,45.0,61.0,30.0,0.5291796222789529,45169.0
53,Augustus H Burley Elementary School,"1630 W Barry Ave, Chicago, IL 60657",85.0,54.0,57.0,84.0,54.0,-0.3219601555431072,74895.0
54,Austin College and Career Academy High School,"231 N Pine Ave, Chicago, IL 60644",70.0,67.0,52.0,58.0,45.0,0.2547545231726304,35248.0
55,Avalon Park Elementary School,"8045 S Kenwood Ave, Chicago, IL 60619",94.0,35.0,40.0,22.0,77.0,0.35389543037937027,42754.0
56,Back of the Yards IB HS,"2111 W 47th St, Chicago, IL 60609",86.0,71.0,49.0,67.0,73.0,-0.4914980968479833,31357.0
57,Barbara Vick Early Childhood & Family Center,"2554 W 113th St, Chicago, IL 60655",,63.0,69.0,92.0,,-0.5090849777009282,73296.0
58,Belmont-Cragin Elementary School,"5252 W Palmer St, Chicago, IL 60639",67.0,77.0,61.0,86.0,54.0,-0.5561104336729225,50923.0
59,Benito Juarez Community Academy High School,"1450 W Cermak Rd, Chicago, IL 60608",77.0,78.0,59.0,84.0,62.0,-0.6440840834903688,33821.0
60,Benjamin E Mays Elementary Academy,"6656 S Normal Blvd, Chicago, IL 60621",56.0,32.0,31.0,26.0,42.0,0.6694155612463905,23875.0
61,Bernhard Moos Elementary School,"1711 N California Ave, Chicago, IL 60647",75.0,69.0,65.0,65.0,58.0,-0.4863765093885146,46572.0
62,Beulah Shoesmith Elementary School,"1330 E 50th St, Chicago, IL 60615",74.0,74.0,60.0,53.0,42.0,0.015778290487788674,41344.0
63,Blair Early Childhood Center,"6751 W 63rd Pl, Chicago, IL 60638",,73.0,81.0,86.0,,-0.7035341490558372,56616.0
64,Bowen High School,"2710 E 89th St, Chicago, IL 60617",58.0,47.0,48.0,67.0,45.0,0.5724943216325322,43572.0
65,Bret Harte Elementary School,"1556 E 56th St, Chicago, IL 60637",70.0,53.0,54.0,67.0,46.0,0.30732959991793546,30244.0
66,Brian Piccolo Elementary Specialty School,"1040 N Keeler Ave, Chicago, IL 60651",83.0,79.0,74.0,55.0,71.0,-0.6032596170267946,41711.0
67,Bridgescape Academy Humboldt Park,"2421 W Division, Chicago, IL 60622",44.0,49.0,37.0,,71.0,0.526992382544089,54344.0
68,Brighton Park Elementary School,"3825 S Washtenaw Ave, Chicago, IL 60632",52.0,46.0,57.0,42.0,25.0,0.6610436525235714,46811.0
69,Bronzeville Scholastic Academy High School,"4934 S Wabash Ave, Chicago, IL 60615",71.0,24.0,24.0,30.0,43.0,0.6774822456868288,41344.0
70,Burnham Elementary Inclusive Academy,"9928 S Crandon Ave, Chicago, IL 60617",70.0,31.0,42.0,50.0,45.0,0.7019894125318893,43572.0
71,Burnside Elementary Scholastic Academy,"650 E 91st Pl, Chicago, IL 60619",81.0,44.0,49.0,46.0,59.0,0.47497749808584827,42754.0
72,CICS - Avalon/South Shore,"1501 E 83rd Pl, Chicago, IL 60619",92.0,58.0,60.0,46.0,40.0,0.2053205342436776,42754.0
73,CICS - Basil,"1816 W Garfield Blvd, Chicago, IL 60609",71.0,47.0,39.0,31.0,44.0,0.6642234143481661,31357.0
74,CICS - Bucktown,"2235 N Hamilton Ave, Chicago, IL 60647",71.0,82.0,68.0,80.0,49.0,-0.5926390052931606,46572.0
75,CICS - ChicagoQuest North,"1443 N Ogden Ave, Chicago, IL 60610",89.0,82.0,53.0,76.0,72.0,-0.594506601629745,70682.0
76,CICS - Irving Park,"3820 N Spaulding Ave, Chicago, IL 60618",59.0,76.0,58.0,72.0,58.0,-0.3489666954371652,55303.0
77,CICS - Lloyd Bond,"13300 S Langley Ave, Chicago, IL 60827",74.0,54.0,48.0,33.0,49.0,0.5885051838863427,39986.0
78,CICS - Longwood,"1309 W 95th St, Chicago, IL 60643",41.0,64.0,61.0,47.0,12.0,0.4664724859505884,62868.0
79,CICS - Loomis Primary,"9535 S Loomis St, Chicago, IL 60643",,53.0,64.0,50.0,,0.4028250953036321,62868.0
80,CICS - Northtown,"3900 W Peterson Ave, Chicago, IL 60659",88.0,94.0,89.0,93.0,83.0,-0.693403040147505,55851.0
81,CICS - Prairie,"11530 S Prairie Ave, Chicago, IL 60628",32.0,51.0,47.0,49.0,30.0,0.6331608879049255,47232.0
82,CICS - Ralph Ellison,"1817 W 80th St, Chicago, IL 60620",77.0,52.0,53.0,56.0,58.0,0.27755936323564906,45717.0
