,Unnamed: 0,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,latitude,longitude
0,A.N. Pritzker School,"2009 W Schiller St, Chicago, IL 60622",63,46,42,70,45,41.9064984,-87.6787622
1,ACE Technical Charter School,"5410 S State St, Chicago, IL 60609",79,71,65,70,46,41.7959341,-87.62653829999999
2,ASPIRA Business and Finance,"2989 N Milwaukee Ave, Chicago, IL 60618",55,32,16,25,49,41.9360176,-87.7174948
3,ASPIRA Charter School - Early College High School,"3986 W Barry Ave, Chicago, IL 60618",72,64,52,75,64,41.9374637,-87.7267682
4,ASPIRA Charter School - Haugan Middle School,"3729 W Leland Ave, Chicago, IL 60625",99,87,80,80,60,41.96630390000001,-87.7218024
5,Abraham Lincoln Elementary School,"615 W Kemper Pl, Chicago, IL 60614",68,77,74,92,66,41.9243599,-87.6445095
6,Academy for Global Citizenship Charter School,"4647 W 47th St, Chicago, IL 60632",80,83,69,96,59,41.8074193,-87.7401184
7,Acero Charter Schools - Bartolome de las Casas,"1641 W 16th St, Chicago, IL 60608",70,62,49,68,41,41.85940919999999,-87.66786309999999
8,Acero Charter Schools - Brighton Park,"4420 S Fairfield Ave, Chicago, IL 60632",58,44,53,69,46,41.8132878,-87.69343110000001
9,Acero Charter Schools - Carlos Fuentes,"2845 W Barry Ave, Chicago, IL 60618",60,37,30,69,51,41.9374673,-87.6995737
10,Acero Charter Schools - Esmeralda Santiago,"2510 W Cortez St, Chicago, IL 60622",99,81,64,82,82,41.90044959999999,-87.6899227
11,Acero Charter Schools - Jovita Idar,"5050 S Homan Ave, Chicago, IL 60632",43,28,25,51,22,41.80110630000001,-87.7096028
12,Acero Charter Schools - Major Hector P. Garcia MD,"4248 W 47th St, Chicago, IL 60632",53,50,32,58,56,41.8086594,-87.73068769999999
13,Acero Charter Schools - Octavio Paz Campus,"2651 W 23rd St, Chicago, IL 60608",55,47,56,36,37,41.8499303,-87.6922381
14,Acero Charter Schools - Officer Donald J. Marquez,"2916 W 47th St, Chicago, IL 60632",65,63,55,71,38,41.8085471,-87.6970484
15,Acero Charter Schools - PFC Omar E. Torres,"4248 W 47th St, Chicago, IL 60632",56,16,22,43,40,41.8086594,-87.73068769999999
16,Acero Charter Schools - Roberto Clemente,"2050 N Natchez Ave, Chicago, IL 60707",59,23,15,47,34,41.9177899,-87.78801229999999
17,Acero Charter Schools - Rufino Tamayo,"5135 S California Ave, Chicago, IL 60632",76,73,61,80,60,41.800013,-87.6935848
18,Acero Charter Schools - SPC Daniel Zizumbo,"4248 W 47th St, Chicago, IL 60632",62,16,30,51,46,41.8086594,-87.73068769999999
19,Acero Charter Schools - Sandra Cisneros,"2744 W Pershing Rd, Chicago, IL 60632",49,49,49,62,33,41.8231238,-87.6943969
20,Acero Charter Schools - Sor Juana Ines de la Cruz,"7416 N Ridge Ave, Chicago, IL 60645",53,25,23,35,43,41.9979534,-87.6768416
21,Acero Charter Schools - Victoria Soto,"5025 S St. Louis Ave, Chicago, IL 60632",67,48,34,50,60,41.8007121,-87.7111257
22,Adam Clayton Powell Paideia Community Academy ES,"7511 S South Shore Dr, Chicago, IL 60649",87,42,37,47,57,41.7603231,-87.5563492
23,Adlai E Stevenson Elementary School,"8010 S Kostner Ave, Chicago, IL 60652",98,90,79,96,79,41.7471281,-87.7321137
24,Agustin Lara Elementary Academy,"4619 S Wolcott Ave, Chicago, IL 60609",86,70,70,74,62,41.809785,-87.67190579999999
25,Air Force Academy High School,"3630 S Wells St, Chicago, IL 60609",62,65,47,55,43,41.8278882,-87.6329602
26,Al Raby High School,"3545 W Fulton Blvd, Chicago, IL 60624",73,63,62,52,55,41.8859125,-87.7153374
27,Albany Park Multicultural Academy,"4929 N Sawyer Ave, Chicago, IL 60625",83,65,52,44,55,41.97109,-87.7094104
28,Albert G Lane Technical High School,"2501 W Addison St, Chicago, IL 60618",85,58,48,80,76,41.9454262,-87.690618
29,Albert R Sabin Elementary Magnet School,"2216 W Hirsch St, Chicago, IL 60622",68,46,40,58,40,41.9073574,-87.6829277
30,Alessandro Volta Elementary School,"4950 N Avers Ave, Chicago, IL 60625",73,58,51,71,48,41.971517,-87.7250766
31,Alex Haley Elementary Academy,"11411 S Eggleston Ave, Chicago, IL 60628",97,73,63,73,63,41.6863471,-87.63336799999999
32,Alexander Graham Bell Elementary School,"3730 N Oakley Ave, Chicago, IL 60618",65,62,58,81,56,41.9493403,-87.6866953
33,Alexander Graham Elementary School,"4436 S Union Ave, Chicago, IL 60609",73,55,39,56,41,41.8130967,-87.64385349999999
34,Alexander Hamilton Elementary School,"1650 W Cornelia Ave, Chicago, IL 60657",70,49,57,79,70,41.9454542,-87.67051690000001
35,Alfred Nobel Elementary School,"4127 W Hirsch St, Chicago, IL 60651",75,80,75,71,37,41.90573,-87.7296515
36,Alice L Barnard Computer Math & Science Ctr ES,"10354 S Charles St, Chicago, IL 60643",48,49,56,51,18,41.7053769,-87.65849829999999
37,Ambrose Plamondon Elementary School,"2642 W 15th Pl, Chicago, IL 60608",85,59,44,60,70,41.86037719999999,-87.69266329999999
38,Amelia Earhart Options for Knowledge ES,"1710 E 93rd St, Chicago, IL 60617",95,70,43,-1,60,41.7263326,-87.58294990000002
39,Amos Alonzo Stagg Elementary School,"7424 S Morgan St, Chicago, IL 60621",89,70,69,68,69,41.7589946,-87.6494037
40,Andrew Carnegie Elementary School,"1414 E 61st Pl, Chicago, IL 60637",78,50,54,62,48,41.7835894,-87.5910163
41,Andrew Jackson Elementary Language Academy,"1340 W Harrison St, Chicago, IL 60607",52,32,36,59,33,41.8748949,-87.6608138
42,Anna R. Langford Community Academy,"6010 S Throop St, Chicago, IL 60636",50,40,39,36,18,41.7845238,-87.65738089999999
43,Annie Keller Elementary Gifted Magnet School,"3020 W 108th St, Chicago, IL 60655",99,97,86,99,84,41.6974763,-87.6968995
44,Ariel Elementary Community Academy,"1119 E 46th St, Chicago, IL 60653",68,63,61,79,38,41.8110793,-87.5986539
45,Arnold Mireles Elementary Academy,"9000 S Exchange Ave, Chicago, IL 60617",64,50,46,47,34,41.7310257,-87.55295060000002
46,Arthur A Libby Elementary School,"5300 S Loomis Blvd, Chicago, IL 60609",69,32,35,45,48,41.7972762,-87.66003959999999
47,Arthur Dixon Elementary School,"8306 S Saint Lawrence Ave, Chicago, IL 60619",99,78,69,78,64,41.74331249999999,-87.61057679999999
48,Arthur E Canty Elementary School,"3740 N Panama Ave, Chicago, IL 60634",71,60,52,68,44,41.9479459,-87.8297236
49,Arthur R Ashe Elementary School,"8505 S Ingleside Ave, Chicago, IL 60619",80,80,67,68,35,41.7400343,-87.6009832
50,Asa Philip Randolph Elementary School,"7316 S Hoyne Ave, Chicago, IL 60636",64,34,35,27,40,41.7605625,-87.67691339999999
51,Ashburn Community Elementary School,"8300 S St Louis Ave, Chicago, IL 60652",83,66,64,76,53,41.7418673,-87.7097953
