,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment
A.N. Pritzker School,"2009 W Schiller St, Chicago, IL 60622",63,46,42,70,45
ACE Technical Charter School,"5410 S State St, Chicago, IL 60609",79,71,65,70,46
ASPIRA Business and Finance,"2989 N Milwaukee Ave, Chicago, IL 60618",55,32,16,25,49
ASPIRA Charter School - Early College High School,"3986 W Barry Ave, Chicago, IL 60618",72,64,52,75,64
ASPIRA Charter School - Haugan Middle School,"3729 W Leland Ave, Chicago, IL 60625",99,87,80,80,60
Abraham Lincoln Elementary School,"615 W Kemper Pl, Chicago, IL 60614",68,77,74,92,66
Academy for Global Citizenship Charter School,"4647 W 47th St, Chicago, IL 60632",80,83,69,96,59
Acero Charter Schools - Bartolome de las Casas,"1641 W 16th St, Chicago, IL 60608",70,62,49,68,41
Acero Charter Schools - Brighton Park,"4420 S Fairfield Ave, Chicago, IL 60632",58,44,53,69,46
Acero Charter Schools - Carlos Fuentes,"2845 W Barry Ave, Chicago, IL 60618",60,37,30,69,51
Acero Charter Schools - Esmeralda Santiago,"2510 W Cortez St, Chicago, IL 60622",99,81,64,82,82
Acero Charter Schools - Jovita Idar,"5050 S Homan Ave, Chicago, IL 60632",43,28,25,51,22
Acero Charter Schools - Major Hector P. Garcia MD,"4248 W 47th St, Chicago, IL 60632",53,50,32,58,56
Acero Charter Schools - Octavio Paz Campus,"2651 W 23rd St, Chicago, IL 60608",55,47,56,36,37
Acero Charter Schools - Officer Donald J. Marquez,"2916 W 47th St, Chicago, IL 60632",65,63,55,71,38
Acero Charter Schools - PFC Omar E. Torres,"4248 W 47th St, Chicago, IL 60632",56,16,22,43,40
Acero Charter Schools - Roberto Clemente,"2050 N Natchez Ave, Chicago, IL 60707",59,23,15,47,34
Acero Charter Schools - Rufino Tamayo,"5135 S California Ave, Chicago, IL 60632",76,73,61,80,60
Acero Charter Schools - SPC Daniel Zizumbo,"4248 W 47th St, Chicago, IL 60632",62,16,30,51,46
Acero Charter Schools - Sandra Cisneros,"2744 W Pershing Rd, Chicago, IL 60632",49,49,49,62,33
Acero Charter Schools - Sor Juana Ines de la Cruz,"7416 N Ridge Ave, Chicago, IL 60645",53,25,23,35,43
Acero Charter Schools - Victoria Soto,"5025 S St. Louis Ave, Chicago, IL 60632",67,48,34,50,60
Adam Clayton Powell Paideia Community Academy ES,"7511 S South Shore Dr, Chicago, IL 60649",87,42,37,47,57
Adlai E Stevenson Elementary School,"8010 S Kostner Ave, Chicago, IL 60652",98,90,79,96,79
Agustin Lara Elementary Academy,"4619 S Wolcott Ave, Chicago, IL 60609",86,70,70,74,62
Air Force Academy High School,"3630 S Wells St, Chicago, IL 60609",62,65,47,55,43
